,Label 0,Label 1
Entire set,73.47%,26.53%
training set - fold 0,73.51%,26.49%
testing set - fold 0,69.45%,30.55%
training set - fold 1,73.51%,26.49%
testing set - fold 1,69.45%,30.55%
training set - fold 2,73.51%,26.49%
testing set - fold 2,69.90%,30.10%
training set - fold 3,73.51%,26.49%
testing set - fold 3,69.90%,30.10%
training set - fold 4,73.51%,26.49%
testing set - fold 4,69.90%,30.10%
training set - fold 5,73.51%,26.49%
testing set - fold 5,69.90%,30.10%
training set - fold 6,73.51%,26.49%
testing set - fold 6,69.90%,30.10%
training set - fold 7,73.51%,26.49%
testing set - fold 7,69.90%,30.10%
training set - fold 8,73.50%,26.50%
testing set - fold 8,70.13%,29.87%
training set - fold 9,73.50%,26.50%
testing set - fold 9,70.13%,29.87%
training set - fold 10,73.50%,26.50%
testing set - fold 10,70.13%,29.87%
training set - fold 11,73.50%,26.50%
testing set - fold 11,70.13%,29.87%
training set - fold 12,73.50%,26.50%
testing set - fold 12,70.13%,29.87%
training set - fold 13,73.50%,26.50%
testing set - fold 13,70.13%,29.87%
training set - fold 14,73.50%,26.50%
testing set - fold 14,70.13%,29.87%
training set - fold 15,73.50%,26.50%
testing set - fold 15,70.13%,29.87%
training set - fold 16,73.50%,26.50%
testing set - fold 16,70.13%,29.87%
training set - fold 17,73.50%,26.50%
testing set - fold 17,70.13%,29.87%
training set - fold 18,73.50%,26.50%
testing set - fold 18,70.13%,29.87%
training set - fold 19,73.50%,26.50%
testing set - fold 19,70.13%,29.87%
training set - fold 20,73.50%,26.50%
testing set - fold 20,70.13%,29.87%
training set - fold 21,73.50%,26.50%
testing set - fold 21,70.13%,29.87%
training set - fold 22,73.50%,26.50%
testing set - fold 22,70.13%,29.87%
training set - fold 23,73.50%,26.50%
testing set - fold 23,70.13%,29.87%
training set - fold 24,73.50%,26.50%
testing set - fold 24,70.13%,29.87%
training set - fold 25,73.50%,26.50%
testing set - fold 25,70.13%,29.87%
training set - fold 26,73.50%,26.50%
testing set - fold 26,70.13%,29.87%
training set - fold 27,73.50%,26.50%
testing set - fold 27,70.36%,29.64%
training set - fold 28,73.50%,26.50%
testing set - fold 28,70.13%,29.87%
training set - fold 29,73.50%,26.50%
testing set - fold 29,70.36%,29.64%
training set - fold 30,73.50%,26.50%
testing set - fold 30,70.13%,29.87%
training set - fold 31,73.50%,26.50%
testing set - fold 31,70.59%,29.41%
training set - fold 32,73.49%,26.51%
testing set - fold 32,71.05%,28.95%
training set - fold 33,73.45%,26.55%
testing set - fold 33,75.00%,25.00%
training set - fold 34,73.45%,26.55%
testing set - fold 34,75.00%,25.00%
training set - fold 35,73.45%,26.55%
testing set - fold 35,75.00%,25.00%
training set - fold 36,73.45%,26.55%
testing set - fold 36,75.00%,25.00%
training set - fold 37,73.45%,26.55%
testing set - fold 37,75.00%,25.00%
training set - fold 38,73.45%,26.55%
testing set - fold 38,75.00%,25.00%
training set - fold 39,73.45%,26.55%
testing set - fold 39,75.00%,25.00%
training set - fold 40,73.45%,26.55%
testing set - fold 40,75.00%,25.00%
training set - fold 41,73.45%,26.55%
testing set - fold 41,75.00%,25.00%
training set - fold 42,73.45%,26.55%
testing set - fold 42,75.00%,25.00%
training set - fold 43,73.45%,26.55%
testing set - fold 43,75.00%,25.00%
training set - fold 44,73.45%,26.55%
testing set - fold 44,75.00%,25.00%
training set - fold 45,73.45%,26.55%
testing set - fold 45,75.00%,25.00%
training set - fold 46,73.45%,26.55%
testing set - fold 46,75.00%,25.00%
training set - fold 47,73.44%,26.56%
testing set - fold 47,76.24%,23.76%
training set - fold 48,73.44%,26.56%
testing set - fold 48,76.24%,23.76%
training set - fold 49,73.44%,26.56%
testing set - fold 49,76.24%,23.76%
training set - fold 50,73.44%,26.56%
testing set - fold 50,76.00%,24.00%
training set - fold 51,73.46%,26.54%
testing set - fold 51,74.91%,25.09%
training set - fold 52,73.46%,26.54%
testing set - fold 52,74.91%,25.09%
training set - fold 53,73.46%,26.54%
testing set - fold 53,74.91%,25.09%
training set - fold 54,73.46%,26.54%
testing set - fold 54,74.91%,25.09%
training set - fold 55,73.46%,26.54%
testing set - fold 55,74.91%,25.09%
training set - fold 56,73.46%,26.54%
testing set - fold 56,74.91%,25.09%
training set - fold 57,73.46%,26.54%
testing set - fold 57,74.91%,25.09%
training set - fold 58,73.46%,26.54%
testing set - fold 58,74.91%,25.09%
training set - fold 59,73.46%,26.54%
testing set - fold 59,74.91%,25.09%
training set - fold 60,73.46%,26.54%
testing set - fold 60,74.91%,25.09%
training set - fold 61,73.46%,26.54%
testing set - fold 61,74.91%,25.09%
training set - fold 62,73.46%,26.54%
testing set - fold 62,74.91%,25.09%
training set - fold 63,73.44%,26.56%
testing set - fold 63,76.39%,23.61%
training set - fold 64,73.44%,26.56%
testing set - fold 64,76.39%,23.61%
training set - fold 65,73.44%,26.56%
testing set - fold 65,76.39%,23.61%
training set - fold 66,73.44%,26.56%
testing set - fold 66,76.39%,23.61%
training set - fold 67,73.44%,26.56%
testing set - fold 67,76.39%,23.61%
training set - fold 68,73.44%,26.56%
testing set - fold 68,76.39%,23.61%
training set - fold 69,73.44%,26.56%
testing set - fold 69,76.39%,23.61%
training set - fold 70,73.44%,26.56%
testing set - fold 70,76.39%,23.61%
training set - fold 71,73.44%,26.56%
testing set - fold 71,76.39%,23.61%
training set - fold 72,73.44%,26.56%
testing set - fold 72,76.39%,23.61%
training set - fold 73,73.44%,26.56%
testing set - fold 73,76.39%,23.61%
training set - fold 74,73.44%,26.56%
testing set - fold 74,76.39%,23.61%
training set - fold 75,73.44%,26.56%
testing set - fold 75,76.39%,23.61%
training set - fold 76,73.44%,26.56%
testing set - fold 76,76.39%,23.61%
training set - fold 77,73.44%,26.56%
testing set - fold 77,76.32%,23.68%
training set - fold 78,73.44%,26.56%
testing set - fold 78,76.24%,23.76%
training set - fold 79,73.44%,26.56%
testing set - fold 79,76.16%,23.84%
training set - fold 80,73.44%,26.56%
testing set - fold 80,76.32%,23.68%
training set - fold 81,73.44%,26.56%
testing set - fold 81,76.32%,23.68%
training set - fold 82,73.44%,26.56%
testing set - fold 82,76.32%,23.68%
training set - fold 83,73.44%,26.56%
testing set - fold 83,76.32%,23.68%
training set - fold 84,73.44%,26.56%
testing set - fold 84,76.32%,23.68%
training set - fold 85,73.44%,26.56%
testing set - fold 85,76.32%,23.68%
training set - fold 86,73.44%,26.56%
testing set - fold 86,76.32%,23.68%
training set - fold 87,73.44%,26.56%
testing set - fold 87,76.32%,23.68%
training set - fold 88,73.44%,26.56%
testing set - fold 88,76.32%,23.68%
training set - fold 89,73.44%,26.56%
testing set - fold 89,76.32%,23.68%
training set - fold 90,73.49%,26.51%
testing set - fold 90,71.60%,28.40%
training set - fold 91,73.44%,26.56%
testing set - fold 91,76.32%,23.68%
training set - fold 92,73.45%,26.55%
testing set - fold 92,75.00%,25.00%
training set - fold 93,73.44%,26.56%
testing set - fold 93,76.32%,23.68%
training set - fold 94,73.49%,26.51%
testing set - fold 94,71.17%,28.83%
training set - fold 95,73.49%,26.51%
testing set - fold 95,71.17%,28.83%
training set - fold 96,73.51%,26.49%
testing set - fold 96,69.90%,30.10%
training set - fold 97,73.50%,26.50%
testing set - fold 97,70.13%,29.87%
training set - fold 98,73.50%,26.50%
testing set - fold 98,70.13%,29.87%
training set - fold 99,73.49%,26.51%
testing set - fold 99,71.17%,28.83%
